,Name,Status,District,Population_1991,Population_2001,Population_2011
95,Ayakudi,Panchayat,Dindigul,...,"23,370","27,156"
96,Ayappakkam,Census Town,Thiruvallur,...,...,"29,511"
97,Aygudi,Panchayat,Tirunelveli,...,"12,930","15,129"
98,Ayothiapattinam,Panchayat,Salem,...,"9,941","11,517"
99,Ayyalur,Panchayat,Dindigul,...,"15,203","17,100"
100,Ayyampalayam,Panchayat,Dindigul,...,"12,163","12,175"
101,Ayyampettai,Census Town,Kanchipuram,"5,713","6,025","6,610"
102,Ayyampettai,Panchayat,Thanjavur,"13,092","14,212","16,263"
103,Ayyappanthangal,Census Town,Kanchipuram,...,...,"23,808"
104,Azhagiapandipuram (Azhagiapandiapuram),Panchayat,Kanniyakumari,...,"12,183","11,392"
105,Balakrishnampatti,Panchayat,Tiruchirappalli,...,"8,582","8,635"
106,Balakrishnapuram,Census Town,Dindigul,...,"19,568","25,627"
107,Balasamudram,Panchayat,Dindigul,...,"12,305","14,179"
108,Bargur,Panchayat,Krishnagiri,...,"12,582","16,366"
109,Batlagundu,Panchayat,Dindigul,...,"22,011","22,928"
110,Belur,Panchayat,Salem,...,"9,012","8,736"
111,Bhavani,Municipality,Erode,"35,196","38,778","39,225"
112,Bhavanisagar,Panchayat,Erode,"6,005","4,329","7,710"
113,Bhuvanagiri,Panchayat,Cuddalore,"17,605","19,879","21,956"
114,Bikketti,Panchayat,The Nilgiris,...,"6,774","5,864"
115,B.Mallapuram,Panchayat,Dharmapuri,...,"11,474","12,705"
116,B. Meenakshipuram,Panchayat,Theni,...,"7,227","7,846"
117,Bodinayakanur (Bodinayakkanur),Municipality,Theni,"66,500","73,410","75,675"
118,Boothapandi,Panchayat,Kanniyakumari,...,"14,743","15,931"
119,Boothipuram,Panchayat,Theni,...,"9,626","11,022"
120,Brahmana Periya Agraharam,Panchayat,Erode,"16,293","21,458","24,798"
121,Chakkarapalli,Census Town,Thanjavur,...,"6,082","6,227"
122,Chathirareddipatti,Census Town,Virudhunagar,...,...,"5,360"
123,Chatrapatti,Census Town,Virudhunagar,...,...,"6,948"
124,Chenbagaramanputhur,Census Town,Kanniyakumari,...,...,"5,028"
125,Chengalpattu,Municipality,Kanchipuram,"54,127","62,582","62,579"
126,Chengam,Panchayat,Tiruvannamalai,...,"23,223","26,980"
127,Chengappalli,Census Town,Tiruppur,...,...,"6,587"
128,Chennagiri,Census Town,Salem,...,"4,806","5,338"
129,Chennai [Madras],Municipality,Chennai,"3,841,396","4,343,645","4,646,732"
130,Chennasamudram,Panchayat,Erode,...,"7,342","8,111"
131,Chennimalai,Panchayat,Erode,"13,453","15,547","15,500"
132,Cheranmadevi,Panchayat,Tirunelveli,...,"16,306","18,327"
133,Chetpet (Chettupattu),Panchayat,Tiruvannamalai,...,"17,841","19,827"
134,Chettiarpatti,Panchayat,Virudhunagar,"11,497","12,993","17,520"
135,Chettinaickenpatti,Census Town,Dindigul,...,...,"17,701"
136,Chettipalayam,Census Town,Tiruppur,"19,379","20,184","37,620"
137,Chettipalayam,Panchayat,Coimbatore,...,"8,103","10,366"
138,Chettithangal,Census Town,Vellore,...,"6,042","7,780"
139,Chidambaram,Municipality,Cuddalore,"58,740","57,733","62,153"
140,Chidambaram Nm,Census Town,Cuddalore,...,"6,039","6,039"
141,Chinna Anuppanadi,Census Town,Madurai,"9,231","15,676","26,158"
142,Chinnakalayamputhur,Census Town,Dindigul,...,...,"5,162"
143,Chinnakkampalayam,Panchayat,Tiruppur,...,"9,694","11,546"
144,Chinnalapatti,Panchayat,Dindigul,"22,866","23,351","26,285"
145,Chinnamanur,Municipality,Theni,"35,397","38,360","42,305"
146,Chinnampalayam (Chinniampalayam),Census Town,Coimbatore,...,"7,086","8,695"
147,Chinnamudalaipatti,Census Town,Namakkal,...,...,"8,928"
148,Chinnasalem,Panchayat,Viluppuram,...,"19,516","25,106"
149,Chinnasekkadu,Panchayat,Thiruvallur,"8,421","9,738","12,396"
150,Chinnathadagam,Census Town,Coimbatore,...,"8,276","8,407"
151,Chinnavedampatti,Panchayat,Coimbatore,"7,754","10,981","20,122"
152,Chinniam palayam,Census Town,Coimbatore,...,...,"8,232"
153,Chithode,Panchayat,Erode,"6,993","7,704","8,550"
154,Chitlapakkam,Panchayat,Kanchipuram,...,"25,314","37,906"
155,Cholapuram,Panchayat,Thanjavur,...,"6,385","6,803"
156,Choozhal,Census Town,Kanniyakumari,...,...,"6,807"
157,Coimbatore,Municipality,Coimbatore,"816,321","930,882","1,050,721"
158,Colachel (Kolachal),Municipality,Kanniyakumari,"24,305","23,787","23,227"
159,Coonoor,Municipality,The Nilgiris,"48,003","50,196","45,494"
160,Courtalam (Courtallam),Panchayat,Tirunelveli,...,"2,368","2,089"
161,Cuddalore,Municipality,Cuddalore,"144,561","158,634","173,636"
162,Dalavaipatti,Census Town,Salem,...,"6,224","7,732"
163,Damalerimuthur,Census Town,Vellore,...,"4,688","5,250"
164,Dasanaickenpatti,Census Town,Salem,...,...,"5,857"
165,Denkanikottai,Panchayat,Krishnagiri,...,"19,328","24,252"
166,Desur,Panchayat,Tiruvannamalai,...,"5,163","4,597"
167,Devadanapatti,Panchayat,Theni,...,"13,951","19,285"
168,Devakottai,Municipality,Sivaganga,"38,265","40,497","51,865"
169,Devarshola,Panchayat,The Nilgiris,"19,762","23,164","24,954"
170,Devasthanam,Census Town,Vellore,...,...,"4,963"
171,Devikapuram,Census Town,Tiruvannamalai,...,"8,712","9,800"
172,Devipattinam,Census Town,Ramanathapuram,...,"10,166","11,599"
173,Dhalavoipuram,Census Town,Virudhunagar,"5,485","5,378","5,474"
174,Dhali,Panchayat,Tiruppur,...,"6,143","5,874"
175,Dhaliyur,Panchayat,Coimbatore,...,"9,658","11,500"
176,Dharamapuram,Census Town,Kanniyakumari,...,...,"17,476"
177,Dharapadavedu,Municipality,Vellore,"21,207","30,070","38,833"
178,Dharapuram,Municipality,Tiruppur,"48,393","64,984","56,007"
179,Dharasuram (Darasuram),Panchayat,Thanjavur,"11,057","13,032","15,326"
180,Dharmapuri,Municipality,Dharmapuri,"59,318","64,496","68,619"
181,Dindigul,Municipality,Dindigul,"182,477","196,955","207,327"
182,Doramangalam,Census Town,Salem,...,"4,164","5,322"
183,Dusi,Census Town,Tiruvannamalai,...,"5,116","5,577"
184,Edaganasalai,Panchayat,Salem,...,"29,635","33,245"
185,Edaicode (Edaikodu),Panchayat,Kanniyakumari,...,"23,453","25,378"
186,Edakalinadu,Panchayat,Kanchipuram,...,"25,793","28,172"
187,Edappadi,Municipality,Salem,"41,190","48,815","54,823"
188,Edayanchavadi,Census Town,Thiruvallur,...,"9,128","12,119"
189,Elathur,Panchayat,Erode,...,"7,678","7,827"
190,Elayirampannai,Census Town,Virudhunagar,"5,937","6,325","6,814"
191,Ellakkudy,Census Town,Tiruchirappalli,...,...,"16,244"
192,Ellandaikuttai,Census Town,Namakkal,...,"11,591","16,160"
193,Elumalai,Panchayat,Madurai,...,"14,130","15,746"
194,Eral,Panchayat,Thoothukkudi,"9,376","9,279","9,478"
195,Eranapuram,Census Town,Salem,...,"8,517","8,871"
196,Eraniel,Panchayat,Kanniyakumari,...,"9,305","10,375"
197,Eriodu (Eriyodu),Panchayat,Dindigul,...,"7,875","8,890"
198,Erode,Municipality,Erode,"159,323","150,541","157,101"
199,Erumaipatti,Panchayat,Namakkal,...,"9,301","12,085"
200,Erumapalayam,Census Town,Salem,...,...,"10,220"
201,Eruvadi,Panchayat,Tirunelveli,"13,633","14,755","18,067"
202,Ethapur,Panchayat,Salem,...,"10,058","10,968"
203,Ettayapuram,Panchayat,Thoothukkudi,...,"12,794","12,772"
204,Ettimadai,Panchayat,Coimbatore,...,"7,543","9,352"
205,Ezhudesam,Panchayat,Kanniyakumari,...,"18,741","24,657"
206,Ganapathipuram,Panchayat,Kanniyakumari,...,"13,711","14,598"
207,Gandhinagar (Katpadi Extn),Panchayat,Vellore,...,"9,487","9,114"
208,Gandipuram,Census Town,Kanniyakumari,...,...,"6,106"
209,Gangaikondan,Panchayat,Cuddalore,"8,809","10,483","6,434"
210,Gangavalli,Panchayat,Salem,...,"10,457","12,015"
211,Ganguvarpatti,Panchayat,Theni,...,"10,592","11,942"
212,Gerugambakkam,Census Town,Kanchipuram,...,...,"11,551"
213,Gingee,Panchayat,Viluppuram,...,"21,251","27,045"
214,Gobichettipalayam,Municipality,Erode,"48,364","55,158","59,523"
215,Gopalasamudram,Panchayat,Tirunelveli,...,"10,018","10,694"
216,Goundampalayam,Municipality,Coimbatore,...,"48,276","83,908"
217,Gudalur,Panchayat,The Nilgiris,"36,593","43,096","49,535"
218,Gudalur,Panchayat,Coimbatore,...,"21,966","38,859"
219,Gudalur,Panchayat,Theni,"32,603","35,531","41,915"
220,Gudiyatham,Municipality,Vellore,"83,232","91,452","91,558"
221,Gummidipoondi,Panchayat,Thiruvallur,...,"16,196","18,891"
222,Gunduuppalavadi,Census Town,Cuddalore,...,...,"7,281"
223,Hale-Dharmapuri,Census Town,Dharmapuri,...,...,"4,902"
224,Hanumanthampatti,Panchayat,Theni,...,"9,424","10,619"
225,Harur,Panchayat,Dharmapuri,"19,822","21,523","25,469"
226,Harveypatti,Panchayat,Madurai,"7,437","8,136","9,016"
227,Highways,Panchayat,Theni,...,"7,016","4,882"
228,Hosur,Municipality,Krishnagiri,"41,739","84,394","116,821"
229,Hubbathala,Census Town,The Nilgiris,"10,383","11,091","10,852"
230,Huligal,Panchayat,The Nilgiris,...,"17,054","12,960"
231,Idikarai,Panchayat,Coimbatore,...,"6,333","8,686"
232,Iduvai,Census Town,Tiruppur,...,"4,413","8,006"
233,Ilampillai (Elampillai),Panchayat,Salem,...,"10,615","11,797"
234,Ilanji,Panchayat,Tirunelveli,...,"9,425","10,282"
235,Ilayangudi (Ilaiyangudi),Panchayat,Sivaganga,...,"19,116","24,767"
236,Iluppaiyurani,Census Town,Thoothukkudi,...,"12,005","18,032"
237,Iluppur,Panchayat,Pudukkottai,"10,795","12,666","14,127"
238,Inam Karur,Municipality,Karur,"40,251","45,437","67,131"
239,Inam Maniyachi,Census Town,Thoothukkudi,...,"11,785","18,258"
240,Injambakkam,Census Town,Kanchipuram,...,"10,117","21,158"
241,Iravadanallur,Census Town,Madurai,...,"4,966","7,423"
242,Irugur,Panchayat,Coimbatore,...,"18,622","25,691"
243,Jaffrabad,Census Town,Vellore,"5,187","6,631","8,121"
244,Jagathala,Panchayat,The Nilgiris,"14,257","14,677","14,383"
245,Jalakandapuram,Panchayat,Salem,"12,831","14,077","16,184"
246,Jalladiampet,Census Town,Kanchipuram,...,"7,240","19,100"
247,Jambai,Panchayat,Erode,...,"15,011","16,522"
248,Jayankondam,Municipality,Ariyalur,...,"31,268","33,945"
249,Jolarpet,Municipality,Vellore,"23,719","27,167","29,662"
250,Kadambathur,Census Town,Thiruvallur,...,...,"11,235"
251,Kadambur,Panchayat,Thoothukkudi,...,"4,370","4,155"
252,Kadaparai,Census Town,Karur,...,"5,675","9,574"
253,Kadathur,Panchayat,Dharmapuri,...,"10,184","11,382"
254,Kadayal,Panchayat,Kanniyakumari,...,"19,183","21,665"
255,Kadayam,Census Town,Tirunelveli,...,...,"5,430"
256,Kadayampatti,Panchayat,Salem,...,"9,565","11,390"
257,Kadayanallur,Municipality,Tirunelveli,"68,819","75,612","90,364"
258,Kadhirvedu,Census Town,Thiruvallur,...,"4,870","7,580"
259,Kailasagiri,Census Town,Vellore,...,"8,141","9,421"
260,Kakkalur,Census Town,Thiruvallur,...,"8,942","14,528"
261,Kalakad (Kalakkad),Panchayat,Tirunelveli,...,"27,090","30,921"
262,Kalambur,Panchayat,Tiruvannamalai,...,"13,291","14,304"
263,Kalapatti,Panchayat,Coimbatore,...,"22,034","39,586"
264,Kalappanaickenpatti,Panchayat,Namakkal,...,"10,278","10,831"
265,Kalavai,Panchayat,Vellore,...,"9,763","9,773"
266,Kalinjur,Panchayat,Vellore,"11,369","16,853","19,828"
267,Kaliyakkavilai,Panchayat,Kanniyakumari,...,"13,311","15,625"
268,Kalladaikurichi,Panchayat,Tirunelveli,"25,768","25,746","26,398"
269,Kallakkurichi (Kallakurichi),Municipality,Viluppuram,"27,894","36,793","52,507"
270,Kallakudi (Kallakudy),Panchayat,Tiruchirappalli,...,"11,491","11,604"
271,Kallangudy,Census Town,Pudukkottai,...,...,"6,396"
272,Kallukuttam,Panchayat,Kanniyakumari,...,"16,989","19,093"
273,Kalparapatti,Census Town,Salem,...,...,"5,046"
274,Kalugumalai,Panchayat,Thoothukkudi,"13,122","14,088","14,738"
275,Kamayagoundanpatti,Panchayat,Theni,...,"12,211","16,134"
276,Kambainallur,Panchayat,Dharmapuri,...,"10,833","12,194"
277,Kambam (Cumbum),Municipality,Theni,"52,435","58,891","68,090"
278,Kamuthi,Panchayat,Ramanathapuram,...,"13,137","14,754"
279,Kanadukathan,Panchayat,Sivaganga,...,"4,796","5,275"
280,Kanakkampalayam (in: Udumalaipettai subdistrict),Census Town,Tiruppur,...,"12,218","16,459"
281,Kanakkampalayam (in: Tiruppur subdistrict),Census Town,Tiruppur,...,...,"12,160"
282,Kanam,Panchayat,Thoothukkudi,...,"3,401","3,134"
283,Kancheepuram (Kanchipuram),Municipality,Kanchipuram,"144,955","153,140","164,384"
284,Kandanur,Panchayat,Sivaganga,"6,289","6,455","7,696"
285,Kangeyam,Panchayat,Tiruppur,"21,259","28,258","32,147"
286,Kangeyanallur,Census Town,Vellore,...,"12,669","15,177"
287,Kaniyambadi,Census Town,Vellore,...,"8,382","9,597"
288,Kaniyur,Panchayat,Tiruppur,...,"5,836","6,180"
289,Kaniyur,Census Town,Coimbatore,...,"8,281","12,011"
290,Kanjikoil,Panchayat,Erode,...,"11,040","11,294"
291,Kannamangalam,Panchayat,Tiruvannamalai,...,"7,316","7,399"
292,Kannampalayam,Panchayat,Coimbatore,...,"11,940","15,868"
293,Kannanendal (Kannadendal),Census Town,Madurai,...,"16,013","31,095"
294,Kannankurichi,Panchayat,Salem,...,"14,994","19,765"
295,Kannanoor,Census Town,Kanniyakumari,...,...,"7,747"
296,Kannapalayam,Census Town,Thiruvallur,...,"2,776","4,704"
297,Kannivadi,Panchayat,Tiruppur,...,"4,412","4,385"
298,Kannivadi,Panchayat,Dindigul,...,"10,417","10,369"
299,Kanniyakumari (Kanyakumari),Panchayat,Kanniyakumari,"17,225","19,739","22,453"
300,Kappiyarai,Panchayat,Kanniyakumari,...,"13,368","15,998"
301,Karadipatti,Census Town,Madurai,...,"4,491","7,289"
302,Karaikkudi (Karaikudi),Municipality,Sivaganga,"71,965","86,596","106,714"
303,Karaipudur,Census Town,Tiruppur,...,"15,420","28,602"
304,Karamadai,Panchayat,Coimbatore,"20,065","27,817","35,166"
305,Karambakkam,Census Town,Thiruvallur,"10,467","14,950","21,376"
306,Karambakkudi,Panchayat,Pudukkottai,...,"12,056","14,626"
307,Kariamangalam,Panchayat,Dharmapuri,...,"12,035","13,511"
308,Kariapatti,Panchayat,Virudhunagar,...,"13,981","18,191"
309,Karugampattur,Census Town,Vellore,...,"5,277","6,343"
310,Karukkalvadi,Census Town,Salem,...,"7,972","12,052"
311,Karumandi Chellipalayam,Panchayat,Erode,...,"20,072","23,868"
312,Karumathampatti,Panchayat,Coimbatore,...,"26,477","35,062"
313,Karungal,Panchayat,Kanniyakumari,...,"15,952","16,691"
314,Karunguzhi,Panchayat,Kanchipuram,...,"11,372","12,485"
315,Karuppur,Panchayat,Salem,...,"13,880","13,967"
316,Karur,Municipality,Karur,"73,418","76,336","70,980"
317,Kasinayagampatti,Census Town,Vellore,...,...,"4,779"
318,Kasipalayam (E),Municipality,Erode,"41,304","52,369","73,425"
319,Kasipalayam (G) (Kasipalayam-Gobi),Panchayat,Erode,...,"8,570","9,093"
320,Katpadi,Panchayat,Vellore,...,"14,912","28,797"
321,Kattathurai,Census Town,Kanniyakumari,...,...,"17,271"
322,Kattiganapalli (Kathujuganapalli),Census Town,Krishnagiri,...,"15,962","22,714"
323,Kattimancode,Census Town,Kanniyakumari,...,...,"8,541"
324,Kattivakkam (Kathivakkam),Municipality,Thiruvallur,"27,169","32,590","36,617"
325,Kattumannarkoil,Panchayat,Cuddalore,...,"22,426","27,294"
326,Kattupakkam,Census Town,Thiruvallur,...,...,"23,910"
327,Kattuputhur,Panchayat,Tiruchirappalli,...,"11,118","10,933"
328,Kaveripakkam,Panchayat,Vellore,"12,756","12,545","14,583"
329,Kaveripattinam,Panchayat,Krishnagiri,"14,719","14,378","15,006"
330,Kayalpattinam,Municipality,Thoothukkudi,"24,428","32,664","40,588"
331,Kayatharu,Panchayat,Thoothukkudi,...,"9,214","10,400"
332,Keelakarai (Kilakarai),Municipality,Ramanathapuram,"29,928","30,412","38,355"
333,Keelamanjakudi,Census Town,Pudukkottai,...,...,"6,274"
334,Keeramangalam,Panchayat,Pudukkottai,...,"7,756","9,357"
335,Keeranur,Panchayat,Dindigul,"6,183","6,299","7,200"
336,Keeranur,Panchayat,Pudukkottai,"8,413","10,509","11,667"
337,Keeripatti,Panchayat,Salem,...,"9,164","10,208"
338,Keezhkulam (Kilkulam),Panchayat,Kanniyakumari,...,"17,345","17,327"
339,Kelamangalam,Panchayat,Krishnagiri,...,"11,052","13,321"
340,Kembainaickenpalayam,Panchayat,Erode,...,"10,308","11,103"
341,Kethi (Ketti),Panchayat,The Nilgiris,...,"24,534","23,229"
342,Kila Ambur,Census Town,Tirunelveli,...,"5,784","6,233"
343,Kilampadi,Panchayat,Erode,...,"6,343","6,422"
344,Kilapavoor (Keezhapavur),Panchayat,Tirunelveli,...,"20,422","22,231"
345,Kilkunda,Panchayat,The Nilgiris,...,"10,163","8,886"
346,Killai,Panchayat,Cuddalore,...,"9,899","13,608"
347,Killiyoor (Killiyur),Panchayat,Kanniyakumari,...,"19,273","20,938"
348,Kilmanavur,Census Town,Vellore,...,"4,239","5,145"
349,Kilpennathur (Kizh-Pennathur),Panchayat,Tiruvannamalai,...,"12,468","13,718"
350,Kilpudupakkam,Census Town,Tiruvannamalai,...,"5,554","6,912"
351,Kilvaithinankuppam,Census Town,Vellore,...,"4,642","5,321"
352,Kilvelur,Panchayat,Nagapattinam,...,"7,425","8,272"
353,Kinathukadavu,Panchayat,Coimbatore,...,"8,651","8,653"
354,K.Madapur,Census Town,Coimbatore,...,"4,469","5,626"
355,Kodaikanal,Municipality,Dindigul,"27,423","32,969","36,501"
356,Kodavasal (Kudavasal),Panchayat,Thiruvarur,...,"13,256","14,639"
357,Kodivalasa,Census Town,Thiruvallur,...,"7,447","9,024"
358,Kodumudi,Panchayat,Erode,...,"12,664","13,225"
359,Koilambakkam,Census Town,Kanchipuram,...,...,"27,374"
360,Koilpalayam,Census Town,Coimbatore,...,...,"5,025"
361,Kolappalur,Panchayat,Erode,...,"9,803","9,607"
362,Kolathupalayam,Panchayat,Tiruppur,...,"17,438","17,819"
363,Kolathur,Panchayat,Salem,...,"10,254","12,748"
364,Kollancode (Kollankodu),Panchayat,Kanniyakumari,...,"34,425","38,385"
365,Kollankoil,Panchayat,Erode,...,"8,754","9,196"
366,Komaralingam,Panchayat,Tiruppur,...,"11,769","13,642"
367,Kombai,Panchayat,Theni,...,"12,842","15,960"
368,Konavattam,Census Town,Vellore,"6,975","9,359","11,472"
369,Kondalampatti,Census Town,Salem,"11,230","16,808","20,318"
370,Kondappanaickenpatti,Census Town,Salem,...,"6,892","6,892"
371,Kondasamudram,Census Town,Vellore,...,...,"21,335"
372,Kondichettipatti,Census Town,Namakkal,...,"5,584","10,300"
373,Kondur,Census Town,Cuddalore,...,...,"12,506"
374,Konerikuppam,Census Town,Kanchipuram,...,...,"11,406"
375,Konganapuram,Panchayat,Salem,...,"8,084","9,286"
376,Kooraikundu,Census Town,Virudhunagar,"11,238","19,669","22,361"
377,Koothappar,Panchayat,Tiruchirappalli,...,"17,056","15,943"
378,Koradacheri,Panchayat,Thiruvarur,...,"5,976","6,450"
379,Kosavampatti,Census Town,Namakkal,...,...,"10,356"
380,Kotagiri,Panchayat,The Nilgiris,"29,557","29,192","28,207"
381,Kothanallur (Kothinallur),Panchayat,Kanniyakumari,...,"15,880","17,662"
382,Kottagoundampatty,Census Town,Salem,...,...,"7,891"
383,Kottaiyur,Panchayat,Sivaganga,"8,318","10,633","14,766"
384,Kottakuppam,Panchayat,Viluppuram,...,"24,075","31,726"
385,Kottaram,Panchayat,Kanniyakumari,...,"9,919","11,055"
386,Kottivakkam,Census Town,Kanchipuram,"11,856","13,884","20,217"
387,Kottur,Panchayat,Coimbatore,...,"25,261","26,627"
388,Kovalam (Covelong),Census Town,Kanchipuram,...,...,"8,124"
389,Kovilpatti,Municipality,Thoothukkudi,"78,834","87,450","95,057"
390,Kovur,Census Town,Kanchipuram,...,"5,948","10,961"
391,Krishnagiri,Municipality,Krishnagiri,"60,315","64,587","71,323"
392,Krishnarayapuram,Panchayat,Karur,...,"10,533","10,792"
393,Krishnasamudram,Census Town,Tiruchirappalli,...,"9,215","13,146"
394,Kuchanur,Panchayat,Theni,...,"6,055","7,024"
395,Kuhalur,Panchayat,Erode,...,"11,684","11,753"
